Date,Open,High,Low,Close,Adj Close,Volume
2013-07-01,38.801651,39.305786,38.710743,38.867767,38.867767,804500
2013-07-02,38.809917,39.074379,38.322311,38.462811,38.462811,649200
2013-07-03,37.958679,37.966942,37.23967,37.685947,37.685947,1375900
2013-07-05,37.776859,38.090908,37.512398,37.909088,37.909088,725500
2013-07-08,38.041321,38.198349,37.793388,38.090908,38.090908,942500
2013-07-09,38.29752,40.165291,38.074379,39.669422,39.669422,3253400
2013-07-10,40.066116,40.413223,39.512398,39.768597,39.768597,1595500
2013-07-11,40.314049,40.314049,39.396694,39.512398,39.512398,765800
2013-07-12,39.512398,39.694214,39.371899,39.537189,39.537189,1215100
2013-07-15,39.768593,39.892563,39.066116,39.18182,39.18182,864200
2013-07-16,39.537189,40.595043,39.454544,40.082645,40.082645,2012800
2013-07-17,40.231403,40.338844,38.801655,39.049587,39.049587,1249800
2013-07-18,39.123966,39.628098,38.991737,39.099174,39.099174,1152200
2013-07-19,35.123966,36.355373,34.809917,35.669422,35.669422,10571800
2013-07-22,35.545452,35.669422,34.876034,35.628101,35.628101,2992800
2013-07-23,35.677685,36.049587,35.289257,35.884296,35.884296,2027200
2013-07-24,35.933884,36.033058,35.305786,35.603306,35.603306,943600
2013-07-25,35.561981,35.826447,35.380165,35.710743,35.710743,1666400
2013-07-26,35.537189,36.867767,35.462811,36.859505,36.859505,2258800
2013-07-29,36.743801,39.214874,36.537189,39.033058,39.033058,6064000
2013-07-30,40.933884,41.214874,37.289257,37.669422,37.669422,10892200
2013-07-31,37.628098,38.140495,37.115704,38.066116,38.066116,4388700
2013-08-01,38.52066,38.867767,37.859505,38.016529,38.016529,3399900
2013-08-02,38.008266,38.016529,37.512398,37.76033,37.76033,1219600
2013-08-05,37.785126,38.446281,37.454544,37.950413,37.950413,1368500
2013-08-06,37.958679,37.958679,37.190083,37.247932,37.247932,1470200
2013-08-07,37.272728,37.454544,36.900826,36.983471,36.983471,1269800
2013-08-08,37.008263,37.231403,36.570248,36.652893,36.652893,1198000
2013-08-09,36.661156,36.900829,36.272728,36.314049,36.314049,1773600
2013-08-12,36.256199,36.471073,35.94215,36.157024,36.157024,1812300
2013-08-13,36.256199,36.462811,35.380165,35.438019,35.438019,3121700
2013-08-14,35.371902,35.801651,35.371902,35.545456,35.545456,1231000
2013-08-15,35.016529,35.082645,33.950413,34.619835,34.619835,3120100
2013-08-16,34.446281,34.528927,33.487602,33.512398,33.512398,2065100
2013-08-19,33.47934,33.933884,33.157024,33.429752,33.429752,2158300
2013-08-20,33.454544,33.900826,33.231403,33.785126,33.785126,2216200
2013-08-21,33.727272,34.23967,33.421486,33.867767,33.867767,1602800
2013-08-22,33.950413,34.388432,33.842976,34.173553,34.173553,771600
2013-08-23,34.190083,34.330578,33.801651,34.0,34.0,729800
2013-08-26,33.983471,34.388432,33.644627,34.272728,34.272728,1047600
2013-08-27,33.917355,34.074379,33.512398,33.512398,33.512398,911900
2013-08-28,33.578514,33.909092,33.371902,33.603306,33.603306,1311600
2013-08-29,33.561985,33.685951,33.256199,33.305786,33.305786,907200
2013-08-30,33.264462,33.52066,32.371899,32.446281,32.446281,1290900
2013-09-03,32.661156,33.05785,32.0,32.603306,32.603306,2685900
2013-09-04,32.586777,32.710747,32.090912,32.123966,32.123966,1989800
2013-09-05,32.231403,32.710747,32.066116,32.462811,32.462811,3399100
2013-09-06,32.644627,33.05785,32.157024,32.793388,32.793388,2777000
2013-09-09,31.743801,32.165291,31.23967,31.396694,31.396694,3339800
2013-09-10,31.991735,32.289257,31.818182,32.256199,32.256199,2870700
2013-09-11,32.214874,32.652893,31.809919,32.041321,32.041321,1967700
2013-09-12,31.975206,32.247932,31.363636,31.867769,31.867769,1879700
2013-09-13,32.024792,33.504131,31.942148,33.322315,33.322315,2925600
2013-09-16,33.735538,34.429752,33.421486,33.851238,33.851238,2791100
2013-09-17,33.776859,34.611568,33.70248,34.586777,34.586777,1934700
2013-09-18,34.454544,35.066116,34.090908,34.933884,34.933884,3190800
2013-09-19,34.950413,35.123966,34.016529,34.099171,34.099171,2169400
2013-09-20,34.074379,34.264462,32.917355,32.991737,32.991737,3081900
2013-09-23,33.016529,33.074379,32.371902,32.975208,32.975208,1514300
2013-09-24,32.900829,33.231403,32.471077,32.545456,32.545456,1464600
2013-09-25,32.495869,32.553719,31.975206,32.380165,32.380165,1684900
2013-09-26,32.603306,33.578514,32.52066,33.413223,33.413223,2019000
2013-09-27,33.140495,33.388432,32.793388,33.140495,33.140495,1258400
2013-09-30,32.842976,34.677685,32.842976,34.29752,34.29752,3089100
2013-10-01,34.23967,35.528927,34.090908,34.876034,34.876034,4537800
2013-10-02,34.735535,36.190083,34.70248,35.793388,35.793388,2863600
2013-10-03,35.652893,36.644627,35.652893,36.429752,36.429752,3315300
2013-10-04,36.471073,36.619835,35.950413,36.29752,36.29752,2136400
2013-10-07,36.140495,36.214874,35.710743,35.900826,35.900826,1074700
2013-10-08,36.099174,36.396694,35.925621,36.214874,36.214874,1884500
2013-10-09,36.23967,36.52066,35.768593,36.223141,36.223141,1736600
2013-10-10,36.347107,36.578514,34.917355,35.404957,35.404957,3142600
2013-10-11,35.289257,36.049587,35.082645,35.966942,35.966942,972800
2013-10-14,35.677685,35.925621,34.950413,35.892563,35.892563,1359400
2013-10-15,35.859505,36.082645,35.198349,35.23967,35.23967,1008100
2013-10-16,35.487602,35.834709,35.247932,35.801651,35.801651,984200
2013-10-17,35.710743,36.165287,35.537189,36.148762,36.148762,958700
2013-10-18,36.537189,37.18182,36.099174,36.462811,36.462811,1744900
2013-10-21,36.413223,36.413223,35.090908,35.355373,35.355373,1895800
2013-10-22,35.495869,36.066116,35.421486,35.76033,35.76033,1083600
2013-10-23,35.752068,35.76033,35.008263,35.165291,35.165291,1076400
2013-10-24,35.23967,35.454548,33.925621,34.247932,34.247932,1948200
2013-10-25,34.363636,35.314049,34.256199,35.23967,35.23967,1129700
2013-10-28,35.123966,35.537189,35.024792,35.049587,35.049587,731000
2013-10-29,35.033058,36.330578,34.991737,36.173553,36.173553,1684400
2013-10-30,36.231403,36.619835,35.165287,35.404961,35.404961,1954500
2013-10-31,35.933884,38.140495,35.892563,36.057854,36.057854,4295300
2013-11-01,36.057854,36.380165,34.942146,35.305786,35.305786,1855700
2013-11-04,35.314049,36.330578,34.983471,36.190083,36.190083,1838400
2013-11-05,35.785122,36.115704,34.685951,34.842976,34.842976,2359500
2013-11-06,35.148758,35.471073,34.818184,35.173553,35.173553,2711900
2013-11-07,35.165287,35.35537,33.380165,33.487602,33.487602,2964900
2013-11-08,33.933884,34.785126,33.694214,34.363636,34.363636,3079000
2013-11-11,34.23967,34.809917,34.157028,34.793388,34.793388,1253400
2013-11-12,34.685951,35.008263,34.140495,34.991737,34.991737,1060900
2013-11-13,35.330578,35.950413,35.123966,35.743801,35.743801,3540900
2013-11-14,35.661156,36.099174,35.223141,35.826447,35.826447,1512700
2013-11-15,35.834713,36.057854,35.123966,35.29752,35.29752,1063200
2013-11-18,35.272728,35.322315,33.966942,34.024792,34.024792,3096500
2013-11-19,33.892559,34.024792,32.504135,32.975208,32.975208,5779700
2013-11-20,32.975208,34.190083,32.975208,33.81818,33.81818,2667900
2013-11-21,33.950417,34.173553,33.793388,34.05785,34.05785,885800
2013-11-22,34.066116,34.132233,33.76033,33.958679,33.958679,1533300
2013-11-25,34.107437,34.29752,33.719009,33.851238,33.851238,1010500
2013-11-26,33.776859,34.380165,33.719009,34.214874,34.214874,1230500
2013-11-27,34.322311,34.371902,33.834709,33.892559,33.892559,1474700
2013-11-29,34.115704,34.446281,33.892563,34.090908,34.090908,400300
2013-12-02,34.214878,34.710743,33.925621,34.256199,34.256199,1538300
2013-12-03,34.090908,34.380165,33.743801,34.115704,34.115704,1699600
2013-12-04,34.016529,34.322315,33.776859,34.23967,34.23967,1466100
2013-12-05,34.148762,34.157024,33.719009,34.0,34.0,1018400
2013-12-06,34.272728,34.545456,34.0,34.074379,34.074379,707600
2013-12-09,34.049587,34.355373,33.925621,34.165291,34.165291,804700
2013-12-10,34.016529,34.330578,33.909088,34.256199,34.256199,1156000
2013-12-11,34.29752,34.347107,32.785122,32.834709,32.834709,2185400
2013-12-12,32.710747,32.859501,31.70248,32.347107,32.347107,2202300
2013-12-13,32.421486,32.892563,32.272728,32.487602,32.487602,1257900
2013-12-16,32.537189,32.768597,32.429752,32.454544,32.454544,789700
2013-12-17,32.396694,32.438015,31.206612,31.338842,31.338842,2695000
2013-12-18,31.413221,31.727272,31.140495,31.44628,31.44628,1548900
2013-12-19,31.413221,31.487602,30.181818,30.685951,30.685951,2397600
2013-12-20,30.628099,31.652891,30.628099,31.644629,31.644629,2271900
2013-12-23,31.677687,32.016529,31.23967,31.355371,31.355371,1579700
2013-12-24,31.322315,31.917355,31.264463,31.776859,31.776859,541800
2013-12-26,32.057854,32.264465,31.801653,32.057854,32.057854,767400
2013-12-27,32.107437,32.264462,31.785124,32.05785,32.05785,929500
2013-12-30,32.008263,32.644627,31.834711,32.512398,32.512398,1218000
2013-12-31,32.545456,32.867767,32.363636,32.454544,32.454544,908500
2014-01-02,32.396694,34.214878,32.305786,34.173553,34.173553,2750500
2014-01-03,34.231403,35.727272,34.206612,35.140495,35.140495,4408500
2014-01-06,35.214874,35.330578,34.049587,34.636364,34.636364,2728700
2014-01-07,35.471073,36.76033,35.371899,35.94215,35.94215,4836500
2014-01-08,35.636364,35.727272,34.933884,35.05785,35.05785,3301600
2014-01-09,35.107437,35.380165,34.371902,34.586777,34.586777,1887000
2014-01-10,33.76033,34.446281,33.413223,34.157024,34.157024,2873600
2014-01-13,34.256199,34.347107,33.090908,33.190083,33.190083,2641600
2014-01-14,33.190083,33.603306,33.190083,33.512398,33.512398,2579600
2014-01-15,33.446281,33.917355,33.363636,33.909092,33.909092,2010100
2014-01-16,33.859505,34.272728,33.719009,34.23967,34.23967,1789800
2014-01-17,34.413223,34.413223,33.710743,33.809917,33.809917,1698800
2014-01-21,33.925621,34.041321,32.297523,32.570248,32.570248,2988100
2014-01-22,32.570248,32.909092,32.173553,32.586777,32.586777,1651400
2014-01-23,32.512398,32.925621,32.330578,32.909092,32.909092,2181100
2014-01-24,32.768597,33.18182,32.206612,33.140495,33.140495,4210100
2014-01-27,33.024792,33.586777,32.81818,33.454544,33.454544,2463300
2014-01-28,33.603306,34.603306,33.561985,34.214874,34.214874,2816800
2014-01-29,33.991737,34.123966,33.363636,33.363636,33.363636,2183400
2014-01-30,33.537189,33.793388,33.165291,33.314049,33.314049,1596100
2014-01-31,33.107437,34.900826,33.090908,34.223141,34.223141,3167100
2014-02-03,34.330578,34.330578,33.157024,33.231403,33.231403,3343300
2014-02-04,33.264462,33.603306,32.661156,32.933884,32.933884,2701900
2014-02-05,32.933884,33.024792,31.859505,32.223141,32.223141,2536800
2014-02-06,32.247932,33.413223,32.198345,33.380165,33.380165,2322100
2014-02-07,33.504131,33.570248,32.785122,33.074379,33.074379,1325000
2014-02-10,33.008263,33.231403,32.47934,33.074379,33.074379,1604200
2014-02-11,33.05785,33.685951,32.842976,33.595043,33.595043,1242900
2014-02-12,33.553719,34.305786,33.553719,33.81818,33.81818,1851500
2014-02-13,33.611568,34.462811,33.537193,34.289257,34.289257,1761000
2014-02-14,34.347107,34.611568,33.958679,34.049587,34.049587,1282300
2014-02-18,34.066116,34.537189,33.884296,34.388432,34.388432,1546700
2014-02-19,33.884296,34.884296,33.206612,34.157024,34.157024,3670100
