Date,Open,High,Low,Close,Adj Close,Volume,dates
2014-01-02,63.529999,64.169998,63.139999,63.18,55.847157,7400100,2014-01-02
2014-01-03,63.619999,63.889999,63.400002,63.490002,56.121174,4589400,2014-01-03
2014-01-06,63.68,63.689999,62.669998,63.060001,55.741096,4609600,2014-01-06
2014-01-07,63.029999,63.290001,62.599998,62.91,55.608501,5398300,2014-01-07
2014-01-08,62.810001,62.82,62.43,62.689999,55.414024,5529900,2014-01-08
2014-01-09,62.889999,63.59,62.77,63.34,55.988583,7264600,2014-01-09
2014-01-10,62.889999,63.630001,62.16,62.619999,55.35215,12949700,2014-01-10
2014-01-13,62.119999,62.23,61.490002,61.5,54.362144,8031200,2014-01-13
2014-01-14,61.509998,61.759998,61.27,61.709999,54.547775,5519900,2014-01-14
2014-01-15,61.860001,61.869999,61.5,61.560001,54.41518,4233700,2014-01-15
2014-01-16,61.439999,61.549999,60.599998,60.810001,53.752224,5288400,2014-01-16
2014-01-17,60.93,60.93,59.869999,60.240002,53.248383,8132100,2014-01-17
2014-01-21,59.799999,59.810001,58.799999,59.200001,52.329086,10595500,2014-01-21
2014-01-22,59.779999,59.82,58.75,58.98,52.134621,7185100,2014-01-22
2014-01-23,58.5,58.720001,58.259998,58.650002,51.842926,7029900,2014-01-23
2014-01-24,58.560001,58.599998,57.689999,57.720001,51.020866,7467500,2014-01-24
2014-01-27,57.73,57.959999,57.380001,57.709999,51.012024,6013100,2014-01-27
2014-01-28,57.849998,58.290001,57.759998,57.889999,51.171127,4907300,2014-01-28
2014-01-29,57.669998,57.860001,56.830002,56.889999,50.287186,5928000,2014-01-29
2014-01-30,57.110001,57.200001,56.650002,56.669998,50.092724,6207900,2014-01-30
2014-01-31,56.41,56.98,55.959999,56.639999,50.066212,6326300,2014-01-31
2014-02-03,56.860001,56.869999,55.279999,55.41,48.978962,6733600,2014-02-03
2014-02-04,55.869999,55.869999,55.099998,55.119999,48.722614,5969600,2014-02-04
2014-02-05,55.060001,55.189999,54.66,55.07,48.678425,8176000,2014-02-05
2014-02-06,55.130001,56.0,55.09,55.860001,49.376736,8886800,2014-02-06
2014-02-07,56.110001,56.41,55.540001,56.330002,49.792183,6344700,2014-02-07
2014-02-10,56.34,56.689999,56.169998,56.509998,49.95129,6017900,2014-02-10
