Date,Open,High,Low,Close,Adj Close,Volume,dates
2015-01-02,126.650002,127.730003,124.400002,125.459999,119.609344,1181600,2015-01-02
2015-01-05,124.300003,125.459999,122.860001,123.260002,117.511948,1550000,2015-01-05
2015-01-06,125.019997,126.940002,124.269997,124.940002,119.113602,2117000,2015-01-06
2015-01-07,125.139999,127.900002,125.139999,125.559998,119.704681,1578500,2015-01-07
2015-01-08,126.019997,131.800003,126.019997,131.550003,125.415337,1967400,2015-01-08
2015-01-09,131.740005,131.740005,129.729996,129.800003,123.746948,1384100,2015-01-09
2015-01-12,130.440002,130.660004,128.190002,128.830002,122.822189,1229700,2015-01-12
2015-01-13,130.119995,131.490005,128.899994,130.279999,124.20459,1194800,2015-01-13
2015-01-14,128.679993,132.800003,127.849998,131.809998,125.663223,3216700,2015-01-14
2015-01-15,132.0,134.929993,131.940002,134.089996,127.836914,1964400,2015-01-15
2015-01-16,133.75,136.259995,133.179993,136.009995,129.667374,2317500,2015-01-16
2015-01-20,136.940002,137.740005,135.830002,137.130005,130.735168,2269100,2015-01-20
2015-01-21,136.860001,140.529999,136.669998,139.679993,133.166229,2536700,2015-01-21
2015-01-22,140.740005,143.380005,139.520004,142.860001,136.197891,2329600,2015-01-22
2015-01-23,142.5,143.649994,140.440002,140.770004,134.205383,1794300,2015-01-23
2015-01-26,140.600006,140.600006,138.009995,138.699997,132.231888,2513100,2015-01-26
2015-01-27,138.119995,138.970001,137.089996,137.779999,131.354828,2393200,2015-01-27
2015-01-28,138.210007,139.279999,133.029999,133.580002,127.3507,3475900,2015-01-28
2015-01-29,134.619995,137.369995,133.759995,137.100006,130.706528,1950400,2015-01-29
2015-01-30,135.410004,137.399994,134.139999,134.960007,128.666321,2246200,2015-01-30
2015-02-02,134.960007,135.589996,132.940002,135.5,129.181168,1819000,2015-02-02
2015-02-03,136.080002,137.240005,135.5,136.960007,130.573044,1709700,2015-02-03
2015-02-04,136.490005,138.669998,135.399994,137.649994,131.230881,1674500,2015-02-04
2015-02-05,135.5,138.369995,135.399994,137.229996,130.83046,2314600,2015-02-05
2015-02-06,136.949997,137.229996,135.089996,135.690002,129.362289,2235200,2015-02-06
2015-02-09,134.789993,135.690002,134.380005,134.880005,128.590057,1744400,2015-02-09
2015-02-10,136.380005,139.039993,135.610001,138.740005,132.270035,2100200,2015-02-10
2015-02-11,138.600006,141.720001,138.559998,141.490005,134.8918,2104400,2015-02-11
2015-02-12,142.559998,142.559998,140.779999,142.0,135.378036,1515800,2015-02-12
2015-02-13,141.369995,141.740005,140.679993,141.050003,134.472336,1446300,2015-02-13
2015-02-17,140.559998,141.940002,140.0,141.759995,135.1492,1091000,2015-02-17
2015-02-18,141.759995,142.770004,141.039993,141.839996,135.225494,1295600,2015-02-18
2015-02-19,141.990005,142.899994,141.690002,142.649994,135.997681,1191700,2015-02-19
2015-02-20,141.880005,144.740005,141.800003,144.589996,137.847244,1622100,2015-02-20
2015-02-23,145.5,147.479996,145.300003,147.350006,140.478546,2218800,2015-02-23
2015-02-24,147.350006,148.759995,147.0,147.279999,140.411789,1996300,2015-02-24
2015-02-25,147.5,148.0,146.559998,146.970001,140.116272,1228600,2015-02-25
2015-02-26,146.630005,147.339996,146.229996,146.720001,139.877914,1129300,2015-02-26
2015-02-27,146.720001,147.429993,146.240005,146.449997,139.620499,1523500,2015-02-27
2015-03-02,146.449997,147.710007,146.300003,146.929993,140.07811,1339100,2015-03-02
2015-03-03,146.059998,147.070007,144.619995,145.990005,139.181961,1478900,2015-03-03
2015-03-04,144.779999,147.300003,144.199997,146.550003,139.715836,1822100,2015-03-04
2015-03-05,146.5,147.699997,146.259995,146.850006,140.001862,1175700,2015-03-05
2015-03-06,145.119995,146.869995,144.899994,145.160004,138.982178,1494000,2015-03-06
2015-03-09,145.160004,146.929993,145.029999,146.75,140.504517,970700,2015-03-09
2015-03-10,145.330002,145.889999,144.279999,144.279999,138.139648,1489600,2015-03-10
2015-03-11,145.350006,145.860001,144.279999,144.380005,138.235382,1245600,2015-03-11
2015-03-12,145.279999,147.559998,145.119995,147.460007,141.18428,1836600,2015-03-12
2015-03-13,146.830002,150.029999,146.399994,150.009995,143.625778,2124500,2015-03-13
